category,new_path,old_path,width,height,mode,has_alpha,alpha_coverage,sha256
letters,revealed_glyphs/letters/letter_001.png,Alphabet/abstract_rune_glyph_r01_c01.png,256,256,RGBA,True,0.149597,023d359a9bc4648d9b076081326ca1dfa740a5fc288dfe58a9941b909513e3ba
letters,revealed_glyphs/letters/letter_002.png,Alphabet/abstract_rune_glyph_r01_c02.png,256,256,RGBA,True,0.194504,90ab7d66ff000628e8d565f01ae26c44c702651a996a6e7b2761d7966c615f05
letters,revealed_glyphs/letters/letter_003.png,Alphabet/abstract_rune_glyph_r01_c03.png,256,256,RGBA,True,0.191299,875829b02ceb536991831fb8ea19c75ee7d148cbb8dcd5ad7b4be0d6e9a8daa4
letters,revealed_glyphs/letters/letter_004.png,Alphabet/abstract_rune_glyph_r01_c04.png,256,256,RGBA,True,0.157944,9eca1ca39bc8b10bfc17159032bbf6c50985db77660ab6cbbc5c9845733a0e6e
letters,revealed_glyphs/letters/letter_005.png,Alphabet/abstract_rune_glyph_r01_c05.png,256,256,RGBA,True,0.182083,3d39fb1f58ce152f42df2e6a71e50078767f3165860049766a7249c155f14812
letters,revealed_glyphs/letters/letter_006.png,Alphabet/abstract_rune_glyph_r01_c06.png,256,256,RGBA,True,0.178925,e6f78cbbe7ff85b86025731e6bb082727f36c41ad7a0ad493bb2befc256e3242
letters,revealed_glyphs/letters/letter_007.png,Alphabet/abstract_rune_glyph_r01_c07.png,256,256,RGBA,True,0.171692,922617065a8e9e1cce4d1c460cd9312289245757ff3c782de3c3c94f32c6609f
letters,revealed_glyphs/letters/letter_008.png,Alphabet/abstract_rune_glyph_r01_c08.png,256,256,RGBA,True,0.191406,60528854c4d8b102d49be1c6ce4d0e95c0fb1642c6d3820a9ad57cf0de3e30ea
letters,revealed_glyphs/letters/letter_009.png,Alphabet/abstract_rune_glyph_r01_c09.png,256,256,RGBA,True,0.237183,ad364e42f636d2e2182e7f07369a3f5ff258db14bded0625f8df808b33172531
letters,revealed_glyphs/letters/letter_010.png,Alphabet/abstract_rune_glyph_r01_c10.png,256,256,RGBA,True,0.171616,129d11c41f637ee74eb72e99dbcb82191e700028e68c97f8d97cc00e195a8cb8
letters,revealed_glyphs/letters/letter_011.png,Alphabet/abstract_rune_glyph_r02_c01.png,256,256,RGBA,True,0.11441,c5b98bb3835734d2c34b04bdcf700e6f695dc1c5999e54d2d7f5999b1e3cdc69
letters,revealed_glyphs/letters/letter_012.png,Alphabet/abstract_rune_glyph_r02_c02.png,256,256,RGBA,True,0.120422,1b65dc0c33c989644e6ff2a01779355f0908c15cce5d53bd8a56db7872f4dee4
letters,revealed_glyphs/letters/letter_013.png,Alphabet/abstract_rune_glyph_r02_c03.png,256,256,RGBA,True,0.144043,bb6959da2bd0c391c126b09785be0eca6398ddcecba8a04b9b269fb7edd4e0dd
letters,revealed_glyphs/letters/letter_014.png,Alphabet/abstract_rune_glyph_r02_c04.png,256,256,RGBA,True,0.164749,3151aca4967ab3628c9cddd8287e879ecaaf8927eafd6ef37ea9d4269642c1af
letters,revealed_glyphs/letters/letter_015.png,Alphabet/abstract_rune_glyph_r02_c05.png,256,256,RGBA,True,0.110458,4f868742fcffbdce23a57e7d4338495e16f7a44b472bfb167d58f168919a221b
