source_filename,pack_filename,id,family,wound_types,severity_min,severity_max,weight,notes
"02_puncture_slit_A_horizontal.png","wound_knife_puncture_slit_01.png","knife_puncture_slit_01","puncture","puncture|deep_puncture",0.05,0.72,1.15,"Primary narrow entry slit; good default puncture variation."
"12_puncture_slit_B_horizontal.png","wound_knife_puncture_slit_02.png","knife_puncture_slit_02","puncture","puncture|deep_puncture",0.12,0.9,1.0,"Ragged slit; use for higher-force or withdrawn punctures."
"03_narrow_stab_split_horizontal.png","wound_knife_puncture_split_01.png","knife_puncture_split_01","puncture","deep_puncture|arterial_wound",0.45,1.0,0.8,"Long narrow split; suited to deeper aligned stabs."
"04_double_puncture_A_horizontal.png","wound_knife_puncture_double_01.png","knife_puncture_double_01","puncture","deep_puncture|arterial_wound",0.55,1.0,0.5,"Complex double-lobed puncture; rare severe variation."
"07_double_puncture_B_horizontal.png","wound_knife_puncture_double_02.png","knife_puncture_double_02","puncture","deep_puncture|arterial_wound",0.6,1.0,0.4,"Ragged double puncture; rare severe variation."
"08_impact_burst_A.png","wound_knife_puncture_burst_01.png","knife_puncture_burst_01","puncture","deep_puncture|arterial_wound",0.72,1.0,0.28,"Forceful burst-like entry; reserve for high-energy severe punctures."
"13_impact_burst_B.png","wound_knife_puncture_burst_02.png","knife_puncture_burst_02","puncture","deep_puncture|arterial_wound",0.78,1.0,0.22,"Alternate forceful entry burst; very rare severe variation."
"01_elongated_split_A.png","wound_knife_slash_long_01.png","knife_slash_long_01","slash","shallow_cut|deep_slash",0.18,0.86,1.0,"Primary elongated slash variation."
"06_elongated_split_B.png","wound_knife_slash_long_02.png","knife_slash_long_02","slash","shallow_cut|deep_slash",0.22,0.9,0.95,"Alternate elongated slash variation."
"05_jagged_split_B.png","wound_knife_slash_jagged_01.png","knife_slash_jagged_01","slash","deep_slash",0.52,1.0,0.72,"Jagged deeper slash; use at higher severity."
"09_wide_torn_split_A.png","wound_knife_slash_wide_01.png","knife_slash_wide_01","slash","deep_slash|arterial_wound",0.68,1.0,0.48,"Wide torn slash; rare severe variation."
"10_ragged_gouge_A.png","wound_knife_slash_gouge_01.png","knife_slash_gouge_01","slash","deep_slash",0.58,1.0,0.46,"Ragged gouge for dragging or poorly aligned deep cuts."
"11_crescent_gouge_A.png","wound_knife_slash_crescent_01.png","knife_slash_crescent_01","slash","deep_slash",0.6,1.0,0.32,"Curved gouge; uncommon variation for arcing draw cuts."
